gid,name,full_name,technology_label,fun,ppc,original_source,longitude,latitude
1149,Manantiales Behr,Central Eléctrica Manantiales Behr,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.66128191399997,-45.55951624199997
1150,San Antonio,Central Eléctrica San Antonio,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.32233999999994,-41.13285999999994
1152,Río Seco,Central Eléctrica Río Seco,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.76980709799994,-48.54294681999994
1153,Cervantes,Central Eléctrica Cervantes,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.32685102199997,-38.98380248099994
1154,Chelforó,Central Eléctrica Chelforó,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.53553278699997,-39.02493910399994
1155,Fortín Uno,Central Eléctrica Fortín Uno,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.18398416999997,-39.030386230999966
1156,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-63.36471999299994,-39.29803234199994
1157,Guillermo Brown,Central Termoeléctrica Guillermo Brown,Central Termoeléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-62.41540900899997,-38.68497494899998
1160,Rincón de los Sauces,Central Térmica Rincón de los Sauces,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.94702999999998,-38.05998999999997
1161,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.73356999999999,-37.556239999999946
1163,La Mora,Central Eléctrica La Mora,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.82984019899993,-35.10581624799994
1164,La Carlota,Central Eléctrica La Carlota,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-63.55966999999998,-33.32280999999995
1165,Magallanes,Central Eléctrica Magallanes,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.40309231499998,-52.32865210999995
1166,Dolavon,Central Térmica Dolavon,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.92225892899995,-43.60088634299996
1167,San Sebastián,Central Eléctrica San Sebastián,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.14900805899998,-53.350821233999966
1169,Pico Truncado,Central Térmica Pico Truncado,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.95018257899994,-46.78429829399994
1170,Bosque Petrificado,Central Eléctrica Bosque Petrificado,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.37235999999996,-47.675539999999955
1171,Bajo del Gualicho,Central Eléctrica Bajo del Gualicho,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.63682936699996,-42.328164081999944
1172,Garayalde,Central Eléctrica Garayalde,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.61418999999995,-44.68598999999995
1173,Belisle,Central Eléctrica Belisle,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.87811453899997,-39.03294278599998
1174,Gaviotas,Central Eléctrica Gaviotas,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-63.72298782699994,-38.93855698899995
1175,Indio Rico,Central Térmica Indio Rico,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-61.01693194799998,-38.24230396399997
1176,Barker,Central Eléctrica Barker,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-59.48707008699995,-37.555441936999955
1177,Ordoqui,Central Eléctrica Ordoqui,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-61.152522629999964,-35.864687914999934
1178,Saturno,Central Eléctrica Saturno,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-62.65893714499998,-36.85370194799998
1179,San Julián,Central Eléctrica San Julián,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.18126043799998,-49.60399137099995
1180,Beazley,Central Eléctrica Beazley,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-66.64544700099998,-33.79496302999996
1181,Dean Funes,Central Eléctrica Dean Funes,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.37157720699997,-30.37843966799994
1182,Lavalle,Central Eléctrica Lavalle,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.10844785899997,-28.09360443299994
1183,Papagayos,Central Eléctrica Papagayos,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-69.08257188499994,-34.25232988799996
1185,Lumbreras,Central Eléctrica Lumbreras,Central Eléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.94552999999996,-25.208129999999983
1186,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-63.96628342499997,-31.477605998999934
1187,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-61.076344450999954,-32.86795373099994
1189,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-62.30621241499995,-33.14303850899995
1190,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.12633268099995,-27.666243357999974
1191,,Usina Nuclear,Usina Nuclear,6.000000000000000,2.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.47243450799994,-45.733792620999964
1192,Arturo Zanichelli Pilar,Central Termoeléctrica Arturo Zanichelli Pilar,Central Termoeléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-63.83208051899999,-31.664306609999983
1193,Ingeniero Guillermo Céspedes,Central Hidroeléctrica Ingeniero Guillermo Céspedes,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.69149780299995,-39.56816863999995
1194,Cabra Corral,Central Hidráulica Cabra Corral,Central Hidráulica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.32994999999994,-25.27191666699997
1195,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.61952956699997,-46.54760404099994
1197,Río Pico,Central Térmica Río Pico,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-71.32898897999996,-44.18754694499995
1198,San Roque,Central Hidráulica San Roque,Central Hidráulica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.39383029999993,-31.353307099999938
1199,Fitz Simón,Central Hidroeléctrica Fitz Simón,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.42071679999998,-32.17841619999996
1200,Los Divisaderos,Central Hidroeléctrica Los Divisaderos,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.68971531899996,-37.87155152299994
1201,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.53485770899994,-37.100424835999945
1202,Nihuil I,Central Hidroeléctrica Nihuil I,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.63071937599994,-34.995056930999965
1203,Nihuil II,Central Hidroeléctrica Nihuil II,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.61772499999995,-34.90393099999994
1204,Nihuil III,Central Hidroeléctrica Nihuil III,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-68.57536454499996,-34.882401578999975
1206,Urugua-í,Central Hidroeléctrica Urugua-í,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-54.56870999999995,-25.876629999999977
1207,El Cadillal,Central Hidroeléctrica El Cadillal,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.18679460799996,-26.620029514999942
1208,Pueblo Viejo,Central Hidroeléctrica Pueblo Viejo,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.77334323499997,-27.116100678999942
1209,Río Hondo,Central Hidroeléctrica Río Hondo,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.88585479399995,-27.52328384799995
1210,Los Quiroga,Central Hidroeléctrica Los Quiroga,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-64.30826456699998,-27.691888776999974
1211,,,,6.000000000000000,-1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.94072902599999,-37.98969942399998
1212,Casa de Piedra,Central Hidroeléctrica Casa de Piedra,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.19084099999998,-38.21431999999993
1213,Río Corralito,Central Hidráulica Río Corralito,Central Hidráulica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-65.68554634899994,-24.98277451499996
1214,Añatuya,Central Térmica Añatuya,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-62.855661227999974,-28.445167024999932
1216,Luis Piedra Buena,Central Termoeléctrica Luis Piedra Buena,Central Termoeléctrica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-62.25360999999998,-38.78722199999993
1217,Atucha II,Central Nuclear Atucha II,Central Nuclear,6.000000000000000,2.000000000000000,IGN/Secretaría de Gobierno de Energía,-59.20488100699998,-33.967154551999954
1218,San Nicolás,Central Térmica San Nicolás,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-60.17354622499994,-33.35675407599996
1223,Futaleufú,Central Hidroeléctrica Futaleufú,Central Hidroeléctrica,6.000000000000000,1.000000000000000,IGN/Secretaría de Gobierno de Energía,-71.62997999999999,-43.12877999999995
1224,Comodoro R?ivadavia,Central Térmica Comodoro Rivadavia,Central Térmica,6.000000000000000,7.000000000000000,IGN/Secretaría de Gobierno de Energía,-67.44342496499996,-45.814516055999945
