alma_id,alma_name,latitude,longitude,voltage_kv,region,coordinate_status
33.0,AUTODROMO,-34.6816772982728,-58.4701146599216,132,GBA,VALID
73.0,CABALLITO,-34.621743328128,-58.4353496686407,132,GBA,VALID
135.0,CONSTITUCIÓN,-34.6298311890251,-58.3863271247558,132,GBA,VALID
144.0,COSTANERA,-34.6259811867732,-58.3409793810098,220,GBA,VALID
295.0,LINIERS,-34.657953737757,-58.5005608478862,132,GBA,VALID
351.0,POMPEYA,-34.6506097312986,-58.4283735634114,132,GBA,VALID
379.0,PATRICIOS,-34.6352973487369,-58.4040342183525,132,GBA,VALID
16.0,ALBERDI,-34.6322983616078,-58.4653474712929,133,GBA,VALID
2153.0,LURO,-34.6194892680941,-58.5082173891844,132,GBA,VALID
1.0,9 DE JULIO,-34.6657767477522,-58.36663943346,132,GBA,VALID
4633.0,PIÑEYRO,-34.6668288098881,-58.3927035490153,132,GBA,VALID
552.0,V. ALSINA,-34.684401927937,-58.4321559548509,132,GBA,VALID
142.0,CORINA,-34.7000512600838,-58.3639298657744,132,GBA,VALID
182.0,ESCALADA,-34.7211536067857,-58.3884672706032,132,GBA,VALID
206.0,GERLI,-34.6880504613537,-58.3972781795344,132,GBA,VALID
45.0,BARRACAS,-34.6543050098432,-58.3819423015163,132,GBA,VALID
360.0,P. GALDOS,-34.6284527092751,-58.3579055477726,132,GBA,VALID
231.0,HERNANDARIAS,-34.6357183299496,-58.3681083767535,132,GBA,VALID
358.0,P. CENTENARIO,-34.6039237117338,-58.4330183400989,132,GBA,VALID
561.0,V. CRESPO,-34.5966079795,-58.447548282,132,GBA,VALID
56.0,BOSQUES,-34.8378403761428,-58.2184237038495,132,GBA,VALID
425.0,QUILMES,-34.7373633894295,-58.277674835975,132,GBA,VALID
75.0,CALCHAQUÍ,-34.761073228559,-58.276816576972,132,GBA,VALID
189.0,EZPELETA,-34.7781631440536,-58.2368882775225,132,GBA,VALID
2475.0,ZUCAMOR,-34.8009487100568,-58.2172473503389,132,GBA,VALID
,AYSA BERNAL,,,132,GBA,MISSING
522.0,SOBRAL,-34.7450127599377,-58.2338018461079,132,GBA,VALID
442.0,RIGOLLEAU,-34.7696717309874,-58.2071022887909,132,GBA,VALID
228.0,GUTIERREZ,-34.8385381268345,-58.187453109117,132,GBA,VALID
510.0,SARANDI,-34.694601244949,-58.3360667073092,132,GBA,VALID
162.0,DON BOSCO,-34.6997708240352,-58.3078129309642,132,GBA,VALID
306.0,MACIEL,-34.6515946647226,-58.3365398500929,132,GBA,VALID
517.0,SHELL,-34.6500423002396,-58.3326171663165,132,GBA,VALID
198.0,VARELA,-34.8170050688649,-58.2709518071183,132,GBA,VALID
333.0,CHINGOLO,-34.7414526357054,-58.3218284105161,132,GBA,VALID
5217.0,P. NOVAK,-34.8187369502107,-58.2875863510023,132,GBA,VALID
