nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom,longitude,latitude
RAUCH,RU,TRANSBA S.A,TRANSBA S.A,0.0,2000-01-01,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-59.091411,-36.781104]]}",0104000020E610000001000000010100000051BF0B5BB38B4DC02C634337FB6342C0,-59.091411,-36.781104
EASTMAN,EA,TRANSBA S.A,TRANSBA S.A,0.0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-59.084806,-34.053271]]}",0104000020E610000001000000010100000096404AECDA8A4DC0A1698995D10641C0,-59.084806,-34.053271
PIRANE,PIR,TRANSNEA S.A,TRANSNEA S.A,30.0,2004-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.0756859170508,-25.6788739742103]]}",0104000020E61000000100000001010000001C407D13B0894DC0B2564DAFCAAD39C0,-59.0756859170508,-25.6788739742103
ZÁRATE,ZA,TRANSBA S.A,TRANSBA S.A,90.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.049075,-34.104644]]}",0104000020E61000000100000001010000008E06F01648864DC07FDC7EF9640D41C0,-59.049075,-34.104644
LUJÁN II,LD,TRANSBA S.A,TRANSBA S.A,30.0,2008-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.035308,-34.558616]]}",0104000020E6100000010000000101000000C2A4F8F884844DC0DC82A5BA804741C0,-59.035308,-34.558616
BELLA VISTA,BVI,TRANSNEA S.A,TRANSNEA S.A,45.0,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.0188708790934,-28.5071525740056]]}",0104000020E6100000010000000101000000CA46685C6A824DC0B26F47C0D4813CC0,-59.0188708790934,-28.5071525740056
CORCEMAR,CO,TRANSBA S.A,TRANSBA S.A,30.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-59.01795,-34.150403]]}",0104000020E61000000100000001010000004A7B832F4C824DC0321CCF67401341C0,-59.01795,-34.150403
MANUEL BELGRANO,MB,TRANSENER S.A,TRANSENER S.A,0.0,2008-07-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-59.0030899938127,-34.1858233215732]]}",0104000020E6100000010000000101000000682FBF4065804DC0D87E000FC91741C0,-59.0030899938127,-34.1858233215732
CAMPANA 500,CA,TRANSBA S.A,TRANSBA S.A,600.0,,500,13.2 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-58.998682,-34.171576]]}",0104000020E61000000100000001010000004C8DD0CFD47F4DC0A663CE33F61541C0,-58.998682,-34.171576
CAMPANA,CA,TRANSENER S.A,TRANSENER S.A,0.0,1992-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-58.9979402285594,-34.1731659098992]]}",0104000020E610000001000000010100000040836281BC7F4DC050E6EF4C2A1641C0,-58.9979402285594,-34.1731659098992
RESISTENCIA NORTE,RNO,TRANSNEA S.A,TRANSNEA S.A,30.0,2007-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.9870680783192,-27.4119942854772]]}",0104000020E61000000100000001010000003CA72D3F587E4DC067431E7578693BC0,-58.9870680783192,-27.4119942854772
PRAXAIR,PX,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-58.984973,-34.157565]]}",0104000020E6100000010000000101000000B4386398137E4DC043FF04172B1441C0,-58.984973,-34.157565
CAMPANA 132,CM,TRANSBA S.A,TRANSBA S.A,60.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.976325,-34.159162]]}",0104000020E610000001000000010100000034A2B437F87C4DC00B62A06B5F1441C0,-58.976325,-34.159162
CAMPANA TRES,CP,TRANSBA S.A,TRANSBA S.A,80.0,2010-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.959455,-34.23322]]}",0104000020E6100000010000000101000000E97DE36BCF7A4DC0F6622827DA1D41C0,-58.959455,-34.23322
RODRIGUEZ,RD,TRANSENER S.A,TRANSENER S.A,0.0,1973-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-58.931511842838,-34.5304021795686]]}",0104000020E6100000010000000101000000B869B2C73B774DC0B87CF737E44341C0,-58.931511842838,-34.5304021795686
BARRANQUERAS,BAR,TRANSNEA S.A,TRANSNEA S.A,0.0,1973-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.9282842477491,-27.4906723693283]]}",0104000020E6100000010000000101000000B5BCAA04D2764DC0E95053B49C7D3BC0,-58.9282842477491,-27.4906723693283
ROSAS,RO,TRANSBA S.A,TRANSBA S.A,0.0,,132,132,"{""type"":""MultiPoint"",""coordinates"":[[-58.913838,-35.868974]]}",0104000020E6100000010000000101000000C8EBC1A4F8744DC083893F8A3AEF41C0,-58.913838,-35.868974
CORRIENTES CENTRO,CCE,TRANSNEA S.A,TRANSNEA S.A,96.0,1973-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.8534176545617,-27.4701415010188]]}",0104000020E6100000010000000101000000F7152ACA3C6D4DC0305E83315B783BC0,-58.8534176545617,-27.4701415010188
SARMIENTO,SAR,TRANSNEA S.A,TRANSNEA S.A,50.0,2011-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.8381931130355,-27.4855887409003]]}",0104000020E6100000010000000101000000271C74E9496B4DC0FA78318B4F7C3BC0,-58.8381931130355,-27.4855887409003
NEWTON,NW,TRANSBA S.A,TRANSBA S.A,0.0,2000-01-01,132,6.6,"{""type"":""MultiPoint"",""coordinates"":[[-58.821942,-35.934346]]}",0104000020E6100000010000000101000000BB9A3C6535694DC0FF9254A698F741C0,-58.821942,-35.934346
MONTE,ME,TRANSBA S.A,TRANSBA S.A,44.0,,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.81062,-35.419844]]}",0104000020E6100000010000000101000000E4BD6A65C2674DC0FEB5BC72BDB541C0,-58.81062,-35.419844
SANTA CATALINA,SCA,TRANSNEA S.A,TRANSNEA S.A,150.0,1981-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.7978949158399,-27.5136333804923]]}",0104000020E6100000010000000101000000AB96AC6B21664DC030592B7A7D833BC0,-58.7978949158399,-27.5136333804923
CAMPO DE LINEA COLONIA BRUGNE,CBR,TRANSNEA S.A,TRANSNEA S.A,30.0,2014-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-58.7787074622475,-28.0945837232689]]}",0104000020E61000000100000001010000008BC0A5AFAC634DC0892C8EA336183CC0,-58.7787074622475,-28.0945837232689
EZEIZA,EZ,TRANSENER S.A,TRANSENER S.A,4150.0,1982-01-01,500,132 | 220,"{""type"":""MultiPoint"",""coordinates"":[[-58.7256905174863,-34.911666382332]]}",0104000020E610000001000000010100000080CF476DE35C4DC0487DE87BB17441C0,-58.7256905174863,-34.911666382332
