nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom
MINETTI,MIN,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-64.9572458814954,-24.4918694354203]]}",0104000020E61000000100000001010000003AD03A84433D50C03408C327EB7D38C0
TERMAS NORTE,TNO,TRANSNOA S.A,TRANSNOA S.A,15,2014-04-17,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.8929829670784,-27.5013173848753]]}",0104000020E61000000100000001010000002ADF07A2263950C098F40C5656803BC0
RIO HONDO,RHO,TRANSNOA S.A,TRANSNOA S.A,25,1970-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.885216384176,-27.5235224368691]]}",0104000020E6100000010000000101000000D9FA9E62A73850C03413019105863BC0
SAN PEDRO,SPE,TRANSNOA S.A,TRANSNOA S.A,30,1979-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.8626463910845,-24.2378299778633]]}",0104000020E61000000100000001010000001C6E3599353750C076EEE86CE23C38C0
S. ANTONIO ESTE,SE,"EDERSA TI
",TRANSPA S.A,15,,132,13.2 | 33 | 132,"{""type"":""MultiPoint"",""coordinates"":[[-64.792,-40.7095]]}",0104000020E6100000010000000101000000A69BC420B03250C0894160E5D05A44C0
LIBERTADOR,LIB,TRANSNOA S.A,TRANSNOA S.A,30,1986-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.7851859690269,-23.8221608167442]]}",0104000020E6100000010000000101000000E68FA67C403250C010F89B2179D237C0
BURRUYACU,BUR,TRANSNOA S.A,TRANSNOA S.A,15,2000-04-25,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.7502425847859,-26.5137871361808]]}",0104000020E6100000010000000101000000326E79F9033050C08500C38D87833AC0
RÍO GRANDE,RG,TRANSENER S.A,TRANSENER S.A,0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-64.6364977993761,-32.221552320036]]}",0104000020E6100000010000000101000000F8124461BC2850C0287490D35B1C40C0
EL TUNAL,ETU,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-64.4761954197672,-25.2259170964559]]}",0104000020E6100000010000000101000000EE995AFC791E50C0A2E2ECB3D53939C0
EMBALSE,EM,TRANSENER S.A,TRANSENER S.A,0,1984-01-01,500,500,"{""type"":""MultiPoint"",""coordinates"":[[-64.4426793852058,-32.2340340158765]]}",0104000020E6100000010000000101000000A084EADB541C50C0B02B9ED3F41D40C0
